gene Species
Glyma.14G020000 Fvirguliforme
Glyma.09G056300 Fvirguliforme
Glyma.01G017800 Fvirguliforme
Glyma.02G070600 Fvirguliforme
Glyma.11G104300 Fvirguliforme
Glyma.09G047900 Fvirguliforme
Glyma.19G143000 Fvirguliforme
Glyma.02G198200 Fvirguliforme
Glyma.09G018500 Fvirguliforme
Glyma.17G174900 Fvirguliforme
Glyma.08G026000 Fvirguliforme
Glyma.08G239900 Fvirguliforme
Glyma.04G104800 Fvirguliforme
Glyma.06G285300 Fvirguliforme
Glyma.09G265600 Fvirguliforme
Glyma.14G069900 Fvirguliforme
Glyma.19G131100 Fvirguliforme
Glyma.06G056000 Fvirguliforme
Glyma.02G107500 Fvirguliforme
Glyma.08G178800 Fvirguliforme
Glyma.07G055500 Fvirguliforme
Glyma.06G023900 Fvirguliforme
Glyma.13G211300 Fvirguliforme
Glyma.08G005900 Fvirguliforme
Glyma.04G085600 Fvirguliforme
Glyma.13G160700 Fvirguliforme
Glyma.08G163000 Fvirguliforme
Glyma.17G045800 Fvirguliforme
Glyma.09G259100 Fvirguliforme
Glyma.15G272700 Fvirguliforme
Glyma.09G041700 Fvirguliforme
Glyma.06G035300 Fvirguliforme
Glyma.04G091800 Fvirguliforme
Glyma.03G259500 Fvirguliforme
Glyma.13G239100 Fvirguliforme
Glyma.10G060000 Fvirguliforme
Glyma.18G193400 Fvirguliforme
Glyma.13G054400 Fvirguliforme
Glyma.09G020800 Fvirguliforme
Glyma.11G077500 Fvirguliforme
Glyma.03G022700 Fvirguliforme
Glyma.09G011800 Fvirguliforme
Glyma.02G061000 Fvirguliforme
Glyma.09G032600 Fvirguliforme
Glyma.02G209400 Fvirguliforme
Glyma.13G179600 Fvirguliforme
Glyma.05G215100 Fvirguliforme
Glyma.14G211300 Fvirguliforme
Glyma.10G067900 Fvirguliforme
Glyma.15G218400 Fvirguliforme
Glyma.13G170600 Fvirguliforme
Glyma.01G017100 Fvirguliforme
Glyma.19G144200 Fvirguliforme
Glyma.05G217000 Fvirguliforme
Glyma.06G276800 Fvirguliforme
Glyma.01G163000 Fvirguliforme
Glyma.11G096400 Fvirguliforme
Glyma.12G176500 Fvirguliforme
Glyma.14G201700 Fvirguliforme
Glyma.01G015600 Fvirguliforme
Glyma.01G204300 Fvirguliforme
Glyma.14G033700 Fvirguliforme
Glyma.14G189100 Fvirguliforme
Glyma.15G272800 Fvirguliforme
Glyma.09G277000 Fvirguliforme
Glyma.04G083200 Fvirguliforme
Glyma.14G062600 Fvirguliforme
Glyma.06G306400 Fvirguliforme
Glyma.03G032700 Fvirguliforme
Glyma.13G090300 Fvirguliforme
Glyma.12G196600 Fvirguliforme
Glyma.10G066700 Fvirguliforme
Glyma.12G195600 Fvirguliforme
Glyma.18G279800 Fvirguliforme
Glyma.04G092600 Fvirguliforme
Glyma.03G032800 Fvirguliforme
Glyma.02G092500 Fvirguliforme
Glyma.06G063300 Fvirguliforme
Glyma.03G045600 Fvirguliforme
Glyma.18G289000 Fvirguliforme
Glyma.12G207600 Fvirguliforme
Glyma.14G212000 Fvirguliforme
Glyma.09G273600 Fvirguliforme
Glyma.14G080400 Fvirguliforme
Glyma.11G090800 Fvirguliforme
Glyma.14G035500 Fvirguliforme
Glyma.17G039800 Fvirguliforme
Glyma.14G065900 Fvirguliforme
Glyma.17G167800 Fvirguliforme
Glyma.08G233300 Fvirguliforme
Glyma.02G078500 Fvirguliforme
Glyma.06G287000 Fvirguliforme
Glyma.06G021000 Fvirguliforme
Glyma.10G053000 Fvirguliforme
Glyma.09G014100 Fvirguliforme
Glyma.06G270000 Fvirguliforme
Glyma.04G092400 Fvirguliforme
Glyma.14G062100 Fvirguliforme
Glyma.01G157500 Fvirguliforme
Glyma.14G203000 Fvirguliforme
Glyma.12G177900 Fvirguliforme
Glyma.09G254800 Fvirguliforme
Glyma.09G030300 Fvirguliforme
Glyma.03G019500 Fvirguliforme
Glyma.02G228100 Fvirguliforme
Glyma.19G018800 Fvirguliforme
Glyma.06G038700 Fvirguliforme
Glyma.06G144000 Fvirguliforme
